conceptUri,skillType,reuseLevel,preferredLabel,altLabels,hiddenLabels,scopeNote,description
http://data.europa.eu/esco/skill/0900073c-85f9-4f81-b178-ad9a12371bc3,skill/competence,sector-specific,respond to individuals' extreme emotions,handle individuals' extreme emotions;respond appropriately to individuals' extreme emotions;deal with individuals' extreme emotions,,,"React and help appropriately in case of extreme emotional reactions of individuals in a crisis situation, extreme distress or who are traumatised."
http://data.europa.eu/esco/skill/093b43df-7bbf-46ed-8ddc-fad2368f2498,skill/competence,sector-specific,prescribe psychotherapeutic treatment,prescribe psychotherapeutic medication;prescribe psycho-therapeutic treatment;administer psychotherapeutic medication;prescribe psychotherapeutic treatments;direct psychotherapeutic treatments,,,"Prescribe, direct, and administer psychotherapeutic treatments or medications to treat disorders of a mental, emotional, or behavioural nature."
http://data.europa.eu/esco/skill/0957a353-b163-4887-96f6-ce79abc5b4e1,skill/competence,cross-sector,provide legal advice on investments,providing legal advice on investments;provide legal advice on investment;provide legal investment advice;provide legal counsel on investments,,,"Provide advice to organisations on the legal procedures, drafting of the contracts, and tax efficiency operations involved in corporate investments and their legal repercussions."
http://data.europa.eu/esco/skill/095fdace-1cc3-4e80-b37b-268fe297904a,skill/competence,cross-sector,prepare audit activities,prepare a plan for audit activities,,,Prepare an audit plan including both pre-audits and certification audits. Communicate with the different processes in order to implement the improvement actions that lead to certification.
http://data.europa.eu/esco/skill/097098fc-6d89-44e9-9305-98ac5c0a78ac,skill/competence,cross-sector,educate on the prevention of illness,give advice on the prevention of illness;educate on illnesses-prevention;prevent diseases and infections;educate on illness-prevention;advise on the prevention of diseases and infections;advise on the prevention of illness;educate on the prevention of illnesses;educate on the prevention of diseases and infections;give advice on the prevention of diseases and infections,,,"Offer evidence-based advice on how to avoid ill health, educate and advise individuals and their carers on how to prevent ill health and/or be able to advise how to improve their environment and health conditions. Provide advice on the identification of risks leading to ill health and help to increase the patients' resilience by targeting prevention and early intervention strategies."
http://data.europa.eu/esco/skill/097c6a36-f031-4d3e-b5c1-62d6ffcb430b,skill/competence,sector-specific,respect data protection principles,comply with data protection regulations;follow data protection principles;respect protection of data principles;respect principles for data protection,,,Ensure that access to personal or institutional data conforms to the legal and ethical framework governing such access.
http://data.europa.eu/esco/skill/09cac140-367e-45f5-b19f-6430e75e5a2a,skill/competence,cross-sector,prepare speeches,prepare speech;create speeches;write up speeches;preparing speeches;get speeches ready,,,Write speeches on multiple topics in a way to hold the attention and interest of an audience.
http://data.europa.eu/esco/skill/09d48285-7d78-4f27-878c-e54fd0c75cee,skill/competence,occupation-specific,encourage healthy behaviours,encourage healthy behaviors;advocate adoption of healthy lifestyle behaviours;encourage behaviours that enhance health;encourage adoption of behaviours that protect health;advocate healthy lifestyle;encourage adoption of healthy behaviours;promote adoption of behaviours to protect health;promote healthy lifestyle behaviours;promote healthy behaviours;encourage adoption of behaviours that enhance health;encourage behaviours that protect health,,,"Encourage the adoption of healthy behaviours such as exercise, a healthy diet, oral hygiene, health checks and preventative medical screenings."
http://data.europa.eu/esco/skill/09d6ed43-95a1-4492-8bd7-d01039285afa,skill/competence,cross-sector,provide social counselling,provide social-counseling;offer social counselling services;offer social counseling services;offer social counselling;assist and guide social service users;offer social counseling;provide social-concelling,,,"Assist and guide social service users to resolve personal, social or psychological problems and difficulties."
http://data.europa.eu/esco/skill/09f2f811-a3fb-4de3-a70f-6420a6935575,knowledge,cross-sector,systems development life-cycle,application development life-cycle,,,"The sequence of steps, such as planning, creating, testing and deploying and the models for the development and life-cycle management of a system."
http://data.europa.eu/esco/skill/0a06b0a8-d931-44ba-b85a-3e0e617261c3,skill/competence,sector-specific,support social service users at the end of life,help service users prepare for end of life;support service users at end of life;provide EoLC;provide end-of-life care;help social care users prepare for end of life;support service users at the end of life,,,"Support individuals to prepare for the end of life and to plan the care and support they wish to receive through the process of dying, providing care and support as death approaches and carrying out agreed actions immediately after death."
http://data.europa.eu/esco/skill/0a30e5a8-60a8-4fda-9f89-8e9cee38da5a,skill/competence,occupation-specific,use interface description language,utilise specification language,,,Utilise specification language for describing interface connection among software components or programs in a programming-language-independent way. The languages which support this method are among others CORBA and WSDL.
http://data.europa.eu/esco/skill/0a43729f-2a79-4dae-9faa-95520daae79f,skill/competence,cross-sector,apply company policies,administer company policies;applying company policies;employ company policies;utilise company policies;company policy application;apply company policy;implement company policies,,,Apply the principles and rules that govern the activities and processes of an organisation.
http://data.europa.eu/esco/skill/0a48d064-dd04-47fb-a00d-85e9b4874033,knowledge,cross-sector,business management principles,principles of business management;business management standards;business management foundations;business management fundamentals;business management principle;business management conventions;a business management principle,,,"Principles governing business management methods such as strategy planning, methods of efficient production, people and resources coordination."
http://data.europa.eu/esco/skill/0a52bed5-fd29-45fb-aba6-e32bccfda1c1,skill/competence,sector-specific,plan migration to cloud,prepare plan for migration to cloud;cloud migration planning;plan refactoring,,,"Select existing workloads and processes for potential migration to the cloud and choose migration tools. Determine a new cloud architecture for an existing solution, plan a strategy for migrating existing workloads to the cloud."
http://data.europa.eu/esco/skill/0a917ad8-5cbd-442b-9b84-e9f6e4c13f17,knowledge,cross-sector,foreign affairs policy development,overseas affairs policy operation;overseas affairs policy organisation;overseas affairs policy evaluation;foreign affairs policy organisation;foreign affairs policy operation;foreign affairs policy evaluation,,,"The development processes of foreign affairs policies, such as relevant research methods, relevant legislation, and foreign affairs operations."
http://data.europa.eu/esco/skill/0aa02c52-077d-45f8-8c2d-7132c11ac16e,skill/competence,cross-sector,carry out strategic research,carrying out strategic research;conduct strategic research;undertake strategic research;complete strategic research;oversee strategic research;carry out a research strategy,,,Research long term possibilities for improvements and plan steps to achieve them.
http://data.europa.eu/esco/skill/0ab03c6c-281b-48f4-83e0-10eeb27a1bae,knowledge,sector-specific,network management system tools,network management system components,,,"The software or hardware tools which enable monitoring, analysis and supervision of individual network components or network parts within a larger network system."
